===== printLabels =====
1 태백특A
2 태백특A정제
3 태백A
4 태백A정제
5 태백B
6 태백B정제
7 태백C
8 태백C정제
9 압해A
10 압해A정제
11 압해B
12 압해B정제
13 해남
14 해남정제
15 행남자기
16 행남자기정제
17 KM-85
18 LKC-60
19 KC-009
20 성주WA
21 성주PA
22 대명PB
23 대명WC-1
24 대한PC
25 대한WC-2
===== printRows =====
223 element, 24, 대한PC, element.bao, BaO, lt, 0.01
224 element, 25, 대한WC-2, element.bao, BaO, lt, 0.01
225 element, 17, KM-85, element.loss, loss, eq, 13.3
226 element, 18, LKC-60, element.loss, loss, eq, 11.4
227 element, 19, KC-009, element.loss, loss, eq, 13.4
228 element, 20, 성주WA, element.loss, loss, eq, 10.75
229 element, 21, 성주PA, element.loss, loss, eq, 14.2
230 element, 22, 대명PB, element.loss, loss, eq, 14.51
231 element, 23, 대명WC-1, element.loss, loss, eq, 8.85
232 element, 24, 대한PC, element.loss, loss, eq, 14.45
233 element, 25, 대한WC-2, element.loss, loss, eq, 10.14
234 element, 2, 태백특A정제, element.sio2, SiO2, eq, 80.9
235 element, 14, 해남정제, element.sio2, SiO2, eq, 82.3
236 element, 16, 행남자기정제, element.sio2, SiO2, eq, 80.9
237 element, 3, 태백A, element.sio2, SiO2, eq, 78.1
238 element, 5, 태백B, element.sio2, SiO2, eq, 76
239 element, 7, 태백C, element.sio2, SiO2, eq, 76.1
240 element, 11, 압해B, element.sio2, SiO2, eq, 74
241 element, 9, 압해A, element.sio2, SiO2, eq, 72.9
242 element, 2, 태백특A정제, element.al2o3, Al2O3, eq, 12.7
243 element, 14, 해남정제, element.al2o3, Al2O3, eq, 12.6
244 element, 16, 행남자기정제, element.al2o3, Al2O3, eq, 12.7
245 element, 3, 태백A, element.al2o3, Al2O3, eq, 14.4
246 element, 5, 태백B, element.al2o3, Al2O3, eq, 15.5
247 element, 7, 태백C, element.al2o3, Al2O3, eq, 13.9
248 element, 11, 압해B, element.al2o3, Al2O3, eq, 16.7
249 element, 9, 압해A, element.al2o3, Al2O3, eq, 16.9
250 element, 2, 태백특A정제, element.fe2o3, Fe2O3, eq, 0.58
251 element, 14, 해남정제, element.fe2o3, Fe2O3, eq, 0.11
252 element, 16, 행남자기정제, element.fe2o3, Fe2O3, eq, 0.58
253 element, 3, 태백A, element.fe2o3, Fe2O3, eq, 0.65
254 element, 5, 태백B, element.fe2o3, Fe2O3, eq, 0.87
255 element, 7, 태백C, element.fe2o3, Fe2O3, eq, 2.26
256 element, 11, 압해B, element.fe2o3, Fe2O3, eq, 1.04
257 element, 9, 압해A, element.fe2o3, Fe2O3, eq, 0.73
258 element, 2, 태백특A정제, element.cao, CaO, eq, 0.02
259 element, 14, 해남정제, element.cao, CaO, eq, 0.01
260 element, 16, 행남자기정제, element.cao, CaO, eq, 0.02
261 element, 3, 태백A, element.cao, CaO, eq, 0.11
262 element, 5, 태백B, element.cao, CaO, eq, 0.12
263 element, 7, 태백C, element.cao, CaO, eq, 0.13
264 element, 11, 압해B, element.cao, CaO, eq, 0.11
265 element, 9, 압해A, element.cao, CaO, eq, 0.17
266 element, 2, 태백특A정제, element.mgo, MgO, eq, 0.14
267 element, 14, 해남정제, element.mgo, MgO, lt, 0.01
268 element, 16, 행남자기정제, element.mgo, MgO, eq, 0.14
269 element, 3, 태백A, element.mgo, MgO, eq, 0.22
270 element, 5, 태백B, element.mgo, MgO, eq, 0.31
271 element, 7, 태백C, element.mgo, MgO, eq, 0.33
272 element, 11, 압해B, element.mgo, MgO, eq, 0.28
273 element, 9, 압해A, element.mgo, MgO, eq, 0.28
274 element, 2, 태백특A정제, element.k2o, K2O, eq, 1.23
275 element, 14, 해남정제, element.k2o, K2O, eq, 0.04
276 element, 16, 행남자기정제, element.k2o, K2O, eq, 1.23
277 element, 3, 태백A, element.k2o, K2O, eq, 3.76
278 element, 5, 태백B, element.k2o, K2O, eq, 4.01
279 element, 7, 태백C, element.k2o, K2O, eq, 2.32
280 element, 11, 압해B, element.k2o, K2O, eq, 4.16
281 element, 9, 압해A, element.k2o, K2O, eq, 5.49
282 element, 2, 태백특A정제, element.na2o, Na2O, eq, 0.03
283 element, 14, 해남정제, element.na2o, Na2O, eq, 0.01
284 element, 16, 행남자기정제, element.na2o, Na2O, eq, 0.03
285 element, 3, 태백A, element.na2o, Na2O, eq, 0.06
286 element, 5, 태백B, element.na2o, Na2O, eq, 0.09
287 element, 7, 태백C, element.na2o, Na2O, eq, 0.03
288 element, 11, 압해B, element.na2o, Na2O, eq, 0.15
289 element, 9, 압해A, element.na2o, Na2O, eq, 0.5
290 element, 2, 태백특A정제, element.tio2, TiO2, eq, 0.1
291 element, 14, 해남정제, element.tio2, TiO2, eq, 0.13
292 element, 16, 행남자기정제, element.tio2, TiO2, eq, 0.1
293 element, 3, 태백A, element.tio2, TiO2, eq, 0.08
294 element, 5, 태백B, element.tio2, TiO2, eq, 0.1
295 element, 7, 태백C, element.tio2, TiO2, eq, 0.41
296 element, 11, 압해B, element.tio2, TiO2, eq, 0.11
297 element, 9, 압해A, element.tio2, TiO2, eq, 0.07
298 element, 2, 태백특A정제, element.mno, MnO, eq, 0.02
299 element, 14, 해남정제, element.mno, MnO, lt, 0.01
300 element, 16, 행남자기정제, element.mno, MnO, eq, 0.01
301 element, 3, 태백A, element.mno, MnO, lt, 0.01
302 element, 5, 태백B, element.mno, MnO, lt, 0.01
303 element, 7, 태백C, element.mno, MnO, lt, 0.01
304 element, 11, 압해B, element.mno, MnO, eq, 0.06
305 element, 9, 압해A, element.mno, MnO, eq, 0.06
306 element, 2, 태백특A정제, element.p2o5, P2O5, eq, 0.01
307 element, 14, 해남정제, element.p2o5, P2O5, eq, 0.05
308 element, 16, 행남자기정제, element.p2o5, P2O5, eq, 0.01
309 element, 3, 태백A, element.p2o5, P2O5, eq, 0.01
310 element, 5, 태백B, element.p2o5, P2O5, eq, 0.02
311 element, 7, 태백C, element.p2o5, P2O5, eq, 0.04
312 element, 11, 압해B, element.p2o5, P2O5, eq, 0.01
313 element, 9, 압해A, element.p2o5, P2O5, eq, 0.01
314 element, 2, 태백특A정제, element.zro2, ZrO2, lt, 0.01
315 element, 14, 해남정제, element.zro2, ZrO2, eq, 0.01
316 element, 16, 행남자기정제, element.zro2, ZrO2, lt, 0.01
317 element, 3, 태백A, element.zro2, ZrO2, lt, 0.01
318 element, 5, 태백B, element.zro2, ZrO2, lt, 0.01
319 element, 7, 태백C, element.zro2, ZrO2, eq, 0.01
